iter	Logloss
0	0.657575955
1	0.6267277471
2	0.6009749218
3	0.5800664744
4	0.562202577
5	0.5468756886
6	0.5350440872
7	0.5234633951
8	0.5142501115
9	0.5047558259
10	0.4971984032
11	0.4885866951
12	0.4810308328
13	0.4747815357
14	0.4678529219
15	0.4621404008
16	0.457176613
17	0.4528271145
18	0.4487323967
19	0.4459259772
20	0.4418719179
21	0.4385739429
22	0.4352125878
23	0.4324192874
24	0.4296843783
25	0.4276789631
26	0.4260294025
27	0.4244193047
28	0.4227112213
29	0.4207904532
30	0.4203278317
31	0.4192873591
32	0.4184907505
33	0.4182374004
34	0.4172951051
35	0.41644512
36	0.4151897078
37	0.4138233026
38	0.4133592518
39	0.4123704878
40	0.4114562539
41	0.410795156
42	0.4101633002
43	0.4097607865
44	0.4088006148
45	0.4081973138
46	0.4077974203
47	0.4075533276
48	0.4072560163
49	0.4064670559
50	0.4061149676
51	0.404873877
52	0.4043797908
53	0.4041078453
54	0.4038399663
55	0.4035237344
56	0.402470309
57	0.4022494577
58	0.402139782
59	0.4018310359
60	0.4016359869
61	0.4015739507
62	0.4009576637
63	0.4004279691
64	0.3996099978
65	0.3992730159
66	0.3991023482
67	0.3989061739
68	0.3988465299
69	0.3986619402
70	0.3986005356
71	0.3981788193
72	0.3981043665
73	0.3980638288
74	0.3980570858
75	0.3977452837
76	0.3974623465
77	0.3973731445
78	0.39737249
79	0.3973072155
80	0.3971665227
81	0.3971559367
82	0.3968916509
83	0.396673185
84	0.3965537294
85	0.3963147797
86	0.3960791202
87	0.3958755405
88	0.3957055741
89	0.3947104222
90	0.39450233
91	0.3944093856
92	0.3941919653
93	0.3940815772
94	0.3940120945
95	0.3938036419
96	0.3937067459
97	0.3935226856
98	0.3932527843
99	0.3924381022
