iter	Passed	Remaining
0	34	3385
1	58	2844
2	80	2605
3	107	2580
4	134	2553
5	162	2547
6	189	2512
7	216	2489
8	242	2455
9	269	2429
10	296	2398
11	324	2376
12	356	2384
13	381	2342
14	407	2309
15	434	2280
16	472	2307
17	494	2251
18	519	2215
19	545	2181
20	570	2147
21	597	2118
22	637	2135
23	662	2097
24	688	2064
25	712	2026
26	736	1991
27	761	1958
28	787	1927
29	811	1892
30	828	1843
31	855	1818
32	881	1789
33	890	1728
34	916	1701
35	940	1671
36	964	1641
37	989	1613
38	1015	1588
39	1046	1570
40	1072	1543
41	1099	1518
42	1136	1506
43	1163	1481
44	1209	1478
45	1236	1451
46	1275	1438
47	1301	1410
48	1330	1385
49	1358	1358
50	1386	1331
51	1411	1302
52	1436	1274
53	1464	1247
54	1489	1218
55	1513	1189
56	1537	1160
57	1561	1130
58	1587	1103
59	1612	1074
60	1637	1046
61	1657	1015
62	1683	988
63	1708	960
64	1733	933
65	1759	906
66	1786	879
67	1812	853
68	1838	825
69	1863	798
70	1882	768
71	1908	742
72	1933	715
73	1951	685
74	1977	659
75	2002	632
76	2028	605
77	2047	577
78	2057	546
79	2083	520
80	2110	495
81	2132	468
82	2160	442
83	2187	416
84	2214	390
85	2241	364
86	2269	339
87	2298	313
88	2326	287
89	2352	261
90	2376	235
91	2400	208
92	2424	182
93	2448	156
94	2472	130
95	2496	104
96	2519	77
97	2545	51
98	2570	25
99	2596	0
